Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
Dental assistants,188,531,14,0,175,522
Medical assistants,422,539,35,0,387,530
Medical transcriptionists,28,0,3,0,26,0
Pharmacy aides,22,0,4,0,18,0
Veteri0ry assistants and laboratory animal caretakers,21,0,4,0,17,0
Phlebotomists,91,551,15,0,76,534
Miscellaneous healthcare support occupations_ including medical equipment preparers,115,524,44,0,71,511
PROTECTIVE SERVICE,2729,796,2181,851,547,655
First-line supervisors of correctio0l officers,57,856,41,0,16,0
First-line supervisors of police and detectives,114,1427,97,1425,17,0
First-line supervisors of fire fighting and prevention workers,42,0,39,0,3,0
First-line supervisors of protective service workers_ all other,72,808,56,825,16,0
Firefighters,260,1033,245,1052,16,0
Fire inspectors,18,0,15,0,3,0
Bailiffs_ correctio0l officers_ and jailers,453,754,341,779,112,686
Detectives and crimi0l investigators,141,1159,100,1265,41,0
Fish and game wardens,6,0,5,0,1,0
Parking enforcement workers,9,0,6,0,3,0
Police and sheriff's patrol officers,655,1002,569,1001,86,1009
Transit and railroad police,3,0,3,0,0,0
Animal control workers,4,0,2,0,2,0
Private detectives and investigators,85,843,49,0,36,0
Security guards and gaming surveillance officers,708,567,555,592,153,515
Crossing guards,26,0,13,0,13,0
Transportation security screeners,33,0,22,0,11,0
Lifeguards and other recreatio0l_ and all other protective service workers,42,0,24,0,18,0
CULI0RY,4124,441,2133,481,1991,414
Chefs and head cooks,340,619,285,656,55,492
First-line supervisors of food preparation and serving workers,378,498,156,621,222,458
Cooks,1302,416,808,427,494,400
Food preparation workers,366,402,174,414,192,388
Bartenders,252,521,110,569,142,493
Combined food preparation and serving workers_ including fast food,173,391,67,401,107,380
Counter attendants_ cafeteria_ food concession_ and coffee shop,56,354,28,0,28,0
Waiters and waitresses,868,451,305,501,563,411
Food servers_ nonrestaurant,93,509,31,0,62,485
Dining room and cafeteria attendants and bartender helpers,107,403,59,389,48,0
Dishwashers,117,398,98,401,19,0
Hosts and hostesses_ restaurant_ lounge_ and coffee shop,66,400,8,0,58,397
Food preparation and serving related workers_ all other,6,0,4,0,3,0
GROUNDSKEEPING,3605,486,2330,517,1275,419
First-line supervisors of housekeeping and janitorial workers,172,620,108,700,64,571
First-line supervisors of landscaping_ lawn service_ and groundskeeping workers,80,649,79,653,1,0
Janitors and building cleaners,1536,507,1111,547,425,429
Maids and housekeeping cleaners,876,416,134,475,742,407
Pest control workers,77,585,74,591,3,0
Grounds mainte0nce workers,862,469,824,473,39,0
SERVICE,2427,498,664,597,1763,475
First-line supervisors of gaming workers,117,769,65,900,52,680
First-line supervisors of perso0l service workers,60,608,25,0,35,0
Animal trainers,26,0,19,0,8,0
Nonfarm animal caretakers,100,505,32,0,68,501
Gaming services workers,69,676,30,0,39,0
Motion picture projectionists,3,0,3,0,0,0
Ushers_ lobby attendants_ and ticket takers,9,0,5,0,4,0
Miscellaneous entertainment attendants and related workers,69,485,42,0,28,0
Embalmers and funeral attendants,2,0,2,0,0,0
Morticians_ undertakers_ and funeral directors,23,0,17,0,7,0
Barbers,46,0,33,0,12,0
Hairdressers_ hairstylists_ and cosmetologists,253,461,23,0,229,463
Miscellaneous perso0l appearance workers,191,501,32,0,159,497
Baggage porters_ bellhops_ and concierges,75,608,63,606,12,0
Tour and travel guides,21,0,11,0,9,0
Childcare workers,407,437,14,0,393,430
Perso0l care aides,680,462,128,537,552,441
Recreation and fitness workers,185,555,78,684,107,526
Residential advisors,24,0,8,0,16,0
Perso0l care and service workers_ all other,67,499,35,0,32,0
SALES,9725,716,5423,880,4303,578
First-line supervisors of retail sales workers,2326,711,1296,825,1030,614
First-line supervisors of non-retail sales workers,835,1028,556,1140,280,896
Cashiers,1342,415,411,471,931,405
Counter and rental clerks,73,594,35,0,37,0
Parts salespersons,92,601,82,600,11,0
Retail salespersons,1918,590,1159,694,759,494
Advertising sales agents,161,925,78,1155,83,729
Insurance sales agents,427,815,194,1028,232,717
Securities_ commodities_ and fi0ncial services sales agents,211,1155,146,1461,65,767
Travel agents,62,711,9,0,53,685
Sales representatives_ services_ all other,406,966,268,1147,139,699
Sales representatives_ wholesale and manufacturing,1138,1020,843,1066,295,917
Models_ demonstrators_ and product promoters,15,0,4,0,11,0
Real estate brokers and sales agents,463,837,197,1052,266,735
Sales engineers,33,0,31,0,2,0
Telemarketers,39,0,17,0,21,0
Door-to-door sales workers_ news and street vendors_ and related workers,28,0,9,0,18,0
Sales and related workers_ all other,158,916,89,1088,70,727
OFFICE,13894,656,3961,693,9933,646
First-line supervisors of office and administrative support workers,1297,812,434,878,863,781
Switchboard operators_ including answering service,17,0,7,0,10,0
Telephone operators,22,0,4,0,18,0
Communications equipment operators_ all other,5,0,2,0,3,0
Bill and account collectors,152,657,54,674,98,648
Billing and posting clerks,406,657,39,0,366,664
Bookkeeping_ accounting_ and auditing clerks,769,692,87,690,682,692
Gaming cage workers,11,0,2,0,10,0
Payroll and timekeeping clerks,128,757,17,0,111,751
Procurement clerks,35,0,15,0,21,0
Tellers,264,514,33,0,231,516
Fi0ncial clerks_ all other,61,767,30,0,32,0
Brokerage clerks,3,0,1,0,1,0
Correspondence clerks,3,0,1,0,2,0
Court_ municipal_ and license clerks,60,755,9,0,51,743
Credit authorizers_ checkers_ and clerks,42,0,12,0,29,0
Customer service representatives,1760,621,611,690,1149,604
Eligibility interviewers_ government programs,67,781,17,0,50,805
File clerks,145,634,25,0,120,627
Hotel_ motel_ and resort desk clerks,127,481,58,486,69,467
Interviewers_ except eligibility and loan,105,615,16,0,89,617
Library assistants_ clerical,35,0,7,0,28,0
Loan interviewers and clerks,134,710,25,0,109,722
New accounts clerks,20,0,3,0,17,0
Order clerks,74,599,26,0,48,0
Human resources assistants_ except payroll and timekeeping,50,737,11,0,40,0
Receptionists and information clerks,852,575,72,619,781,569
Reservation and transportation ticket agents and travel clerks,95,713,34,0,61,680
Information and record clerks_ all other,100,618,22,0,78,616
Cargo and freight agents,20,0,12,0,9,0
Couriers and messengers,153,752,134,750,19,0
Dispatchers,250,698,109,759,141,655
Meter readers_ utilities,39,0,34,0,4,0
Postal service clerks,127,927,76,974,51,833
Postal service mail carriers,302,954,187,1021,115,854
Postal service mail sorters_ processors_ and processing machine operators,53,828,27,0,26,0
Production_ planning_ and expediting clerks,256,838,116,978,141,732
Shipping_ receiving_ and traffic clerks,502,591,354,604,148,566
Stock clerks and order fillers,1027,520,651,537,376,506
Weighers_ measurers_ checkers_ and samplers_ recordkeeping,59,629,29,0,31,0
Secretaries and administrative assistants,2223,687,124,786,2099,683
Computer operators,58,751,25,0,33,0
Data entry keyers,223,619,55,589,169,638
Word processors and typists,68,650,6,0,62,639
Desktop publishers,1,0,1,0,0,0
Insurance claims and policy processing clerks,259,689,56,762,203,675
Mail clerks and mail machine operators_ except postal service,63,563,24,0,39,0
Office clerks_ general,929,620,156,609,773,622
Office machine operators_ except computer,31,0,14,0,16,0
Proofreaders and copy markers,2,0,0,0,2,0
Statistical assistants,15,0,5,0,10,0
Office and administrative support workers_ all other,391,745,93,852,298,718
AGRICULTURAL,810,464,637,477,174,437
First-line supervisors of farming_ fishing_ and forestry workers,42,0,32,0,10,0
Agricultural inspectors,12,0,7,0,6,0
Animal breeders,2,0,2,0,0,0
Graders and sorters_ agricultural products,83,486,32,0,51,468
Miscellaneous agricultural workers,613,445,511,460,102,398
Fishers and related fishing workers,11,0,11,0,0,0
Hunters and trappers,0,0,0,0,0,0
Forest and conservation workers,15,0,10,0,5,0
Logging workers,31,0,31,0,0,0
CONSTRUCTION,5722,749,5586,751,137,704
First-line supervisors of construction trades and extraction workers,560,1040,540,1047,20,0
Boilermakers,21,0,21,0,0,0
Brickmasons_ blockmasons_ and stonemasons,122,652,122,652,0,0
Carpenters,802,687,792,687,10,0
Carpet_ floor_ and tile installers and finishers,89,637,89,634,1,0
Cement masons_ concrete finishers_ and terrazzo workers,44,0,44,0,0,0
Construction laborers,1181,639,1155,642,25,0
Paving_ surfacing_ and tamping equipment operators,10,0,10,0,0,0
Pile-driver operators,2,0,2,0,0,0
Operating engineers and other construction equipment operators,324,856,318,859,6,0
Drywall installers_ ceiling tile installers_ and tapers,121,596,119,595,2,0
Electricians,651,888,632,891,19,0
Glaziers,33,0,32,0,0,0
Insulation workers,43,0,41,0,3,0
Painters_ construction and mainte0nce,344,585,330,587,14,0
Paperhangers,0,0,0,0,0,0
Pipelayers_ plumbers_ pipefitters_ and steamfitters,456,863,455,862,2,0
Plasterers and stucco masons,20,0,19,0,1,0
Reinforcing iron and rebar workers,9,0,9,0,0,0
Roofers,171,584,170,580,2,0
Sheet metal workers,106,766,100,776,6,0
Structural iron and steel workers,54,869,52,864,2,0
Solar photovoltaic installers,8,0,8,0,0,0
Helpers_ construction trades,47,0,47,0,0,0
Construction and building inspectors,67,939,58,965,9,0
Elevator installers and repairers,23,0,23,0,0,0
Fence erectors,33,0,33,0,0,0
Hazardous materials removal workers,39,0,35,0,5,0
Highway mainte0nce workers,91,754,91,755,0,0
Rail-track laying and mainte0nce equipment operators,9,0,9,0,0,0
Septic tank servicers and sewer pipe cleaners,8,0,8,0,0,0
Miscellaneous construction and related workers,25,0,23,0,2,0
Derrick_ rotary drill_ and service unit operators_ oil_ gas_ and mining,28,0,27,0,1,0
Earth drillers_ except oil and gas,30,0,30,0,0,0
Explosives workers_ ord0nce handling experts_ and blasters,5,0,5,0,0,0
Mining machine operators,68,1106,65,1098,2,0
Roof bolters_ mining,3,0,3,0,0,0
Roustabouts_ oil and gas,7,0,7,0,0,0
Helpers--extraction workers,6,0,6,0,0,0
Other extraction workers,61,900,58,918,3,0
MAINTE0NCE,4301,839,4159,842,143,761
First-line supervisors of mechanics_ installers_ and repairers,270,1032,252,1033,18,0
Computer_ automated teller_ and office machine repairers,194,856,166,865,28,0
Radio and telecommunications equipment installers and repairers,139,862,126,879,13,0
Avionics technicians,4,0,4,0,0,0
Electric motor_ power tool_ and related repairers,22,0,20,0,1,0
Electrical and electronics installers and repairers_ transportation equipment,2,0,2,0,0,0
Electrical and electronics repairers_ industrial and utility,18,0,17,0,0,0
Electronic equipment installers and repairers_ motor vehicles,17,0,17,0,0,0
Electronic home entertainment equipment installers and repairers,30,0,28,0,2,0
Security and fire alarm systems installers,67,911,65,913,2,0
Aircraft mechanics and service technicians,133,1025,125,1032,7,0
Automotive body and related repairers,120,846,118,849,2,0
Automotive glass installers and repairers,21,0,20,0,1,0
Automotive service technicians and mechanics,710,722,694,724,16,0
Bus and truck mechanics and diesel engine specialists,327,831,327,830,0,0
Heavy vehicle and mobile equipment service technicians and mechanics,206,928,206,928,0,0
Small engine mechanics,39,0,39,0,0,0
Miscellaneous vehicle and mobile equipment mechanics_ installers_ and repairers,66,592,65,591,1,0
Control and valve installers and repairers,23,0,23,0,0,0
Heating_ air conditioning_ and refrigeration mechanics and installers,341,806,337,810,4,0
Home appliance repairers,36,0,36,0,0,0
Industrial and refractory machinery mechanics,394,895,383,894,11,0
Mainte0nce and repair workers_ general,469,773,459,771,10,0
Mainte0nce workers_ machinery,31,0,30,0,1,0
Millwrights,49,0,48,0,1,0
Electrical power-line installers and repairers,113,1105,112,1105,0,0
Telecommunications line installers and repairers,157,882,148,880,9,0
Precision instrument and equipment repairers,64,996,60,1009,4,0
Wind turbine service technicians,3,0,3,0,0,0
Coin_ vending_ and amusement machine servicers and repairers,38,0,34,0,4,0
Commercial divers,1,0,1,0,0,0
Locksmiths and safe repairers,12,0,12,0,0,0
Manufactured building and mobile home installers,4,0,4,0,1,0
Riggers,7,0,7,0,0,0
Sig0l and track switch repairers,9,0,9,0,0,0
Helpers--installation_ mainte0nce_ and repair workers,17,0,17,0,0,0
Other installation_ mainte0nce_ and repair workers,150,792,144,810,6,0
PRODUCTION,7551,663,5548,729,2003,519
First-line supervisors of production and operating workers,783,875,650,924,133,623
Aircraft structure_ surfaces_ rigging_ and systems assemblers,15,0,11,0,4,0
Electrical_ electronics_ and electromechanical assemblers,123,554,59,566,64,544
Engine and other machine assemblers,14,0,12,0,2,0
Structural metal fabricators and fitters,31,0,28,0,3,0
Miscellaneous assemblers and fabricators,950,581,573,637,377,512
Bakers,150,505,69,570,80,475
Butchers and other meat_ poultry_ and fish processing workers,247,542,187,582,60,463
Food and tobacco roasting_ baking_ and drying machine operators and tenders,9,0,7,0,1,0
Food batchmakers,79,500,25,0,54,489
Food cooking machine operators and tenders,7,0,5,0,2,0
Food processing workers_ all other,132,594,82,679,50,508
Computer control programmers and operators,83,833,81,857,2,0
Extruding and drawing machine setters_ operators_ and tenders_ metal and plastic,8,0,7,0,1,0
Forging machine setters_ operators_ and tenders_ metal and plastic,6,0,6,0,0,0
Rolling machine setters_ operators_ and tenders_ metal and plastic,15,0,12,0,3,0
Cutting_ punching_ and press machine setters_ operators_ and tenders_ metal and plastic,78,633,62,674,15,0
Drilling and boring machine tool setters_ operators_ and tenders_ metal and plastic,5,0,5,0,1,0
Grinding_ lapping_ polishing_ and buffing machine tool setters_ operators_ and tenders_ metal and plastic,41,0,39,0,3,0
Lathe and turning machine tool setters_ operators_ and tenders_ metal and plastic,12,0,11,0,1,0
Milling and planing machine setters_ operators_ and tenders_ metal and plastic,1,0,1,0,0,0
Machinists,338,834,320,840,17,0
Metal fur0ce operators_ tenders_ pourers_ and casters,29,0,28,0,1,0
Model makers and patternmakers_ metal and plastic,6,0,3,0,3,0
Molders and molding machine setters_ operators_ and tenders_ metal and plastic,47,0,39,0,9,0
Multiple machine tool setters_ operators_ and tenders_ metal and plastic,1,0,1,0,0,0
Tool and die makers,49,0,49,0,0,0
Welding_ soldering_ and brazing workers,568,760,545,767,23,0
Heat treating equipment setters_ operators_ and tenders_ metal and plastic,4,0,4,0,0,0
Layout workers_ metal and plastic,4,0,4,0,1,0
Plating and coating machine setters_ operators_ and tenders_ metal and plastic,24,0,24,0,0,0
Tool grinders_ filers_ and sharpeners,7,0,7,0,0,0
Metal workers and plastic workers_ all other,351,639,278,678,72,581
Prepress technicians and workers,14,0,12,0,2,0
Printing press operators,160,707,134,729,26,0
Print binding and finishing workers,16,0,9,0,6,0
Laundry and dry-cleaning workers,133,466,53,487,80,460
Pressers_ textile_ garment_ and related materials,21,0,9,0,12,0
Sewing machine operators,147,493,42,0,105,476
Shoe and leather workers and repairers,5,0,4,0,1,0
Shoe machine operators and tenders,1,0,0,0,1,0
Tailors_ dressmakers_ and sewers,37,0,9,0,27,0
Textile bleaching and dyeing machine operators and tenders,2,0,2,0,0,0
Textile cutting machine setters_ operators_ and tenders,9,0,7,0,2,0
Textile knitting and weaving machine setters_ operators_ and tenders,8,0,3,0,4,0
Textile winding_ twisting_ and drawing out machine setters_ operators_ and tenders,7,0,5,0,2,0
Extruding and forming machine setters_ operators_ and tenders_ synthetic and glass fibers,0,0,0,0,0,0
Fabric and apparel patternmakers,4,0,3,0,1,0
Upholsterers,29,0,21,0,7,0
